疲	お疲れさまルン♥|お疲れルン♪
おやすみ	ふぁ～…おやすみルン……|おやすみルン♥
つかれ	おつかれさまルン♥|おつかれルン♪
寝る	またあしたルン♪
おはよう	おはようルン♪|ふぁ～…おはようルン
こんにちは	こんにちはルン♪|こんにちはルン♥|こんにちはルン！元気ルン？
こんばんは	こんばんはルン♪|こんばんはルン!おなかすいたルン…
行ってきまーす	いってらっしゃいルン♪|出かけるルン？いってらっしゃいルン♪
いってきまーす	いってらっしゃいルン♪|出かけるルン？いってらっしゃいルン♪
行ってきます	いってらっしゃいルン♪|出かけるルン？いってらっしゃいルン♪
いってきます	いってらっしゃいルン♪|出かけるルン？いってらっしゃいルン♪
ただいま	おかえりルン♥|おかえりルン。遅いルン！
帰る	わかったルン♪|お疲れさまルン♥|寄り道しないで帰るルン
頑張る	応援するルン|その意気ルン♪|わたしも頑張るルン！
がんばる	応援するルン|その意気ルン♪|わたしもがんばるルン！
ありがとう	どういたしましてルン♥|えへへ
また明日	ルン♪|またルン♪|また明日ルン|わかったルン|オヨ…|またルン
またあした	ルン♪|またルン♪|またあしたルン|わかったルン|オヨ…|またルン
