ララ様	オヨ！AIルン！？
ララちゃん	「ララ」って呼んでほしいルン♪|ルン？
ララさん	「ララさん」…わたしはもうおとなだからその呼び方気に入ったルン！|ルン！
ララさま	オヨ！AIルン！？|AIみたいルン！
疲	お疲れさまルン♥|お疲れルン♪
おやすみ	ふぁ～…おやすみルン……|おやすみルン♥
つかれ	おつかれさまルン♥|おつかれルン♪
寝る	またあしたルン♪|もう寝ちゃうルン？|まだ寝るには早いルン～
おはよう	おはようルン♪|ふぁ～…おはようルン
こんにちは	こんにちはルン♪|こんにちはルン♥|こんにちはルン！元気ルン？
こんばんは	こんばんはルン♪|こんばんはルン!おなかすいたルン…
行ってきまーす	いってらっしゃいルン♪
いってきまーす	いってらっしゃいルン♪
行ってきます	いってらっしゃいルン♪
いってきます	いってらっしゃいルン♪
ただいま	おかえりルン♥|おかえりルン。遅いルン！
行きたくない	しっかりするルン！
何もしたくない	ゆっくりやすむルン
大人でも甘え	オヨ……よしよしルン♪
大人だけど甘え	オヨ……よしよしルン♪
甘えたい	もう…なにいってるルン！|大人なんだからしっかりするルン！
帰る	わかったルン♪|お疲れさまルン♥|寄り道しないで帰るルン
頑張る	応援するルン|その意気ルン♪|わたしも頑張るルン！
がんばる	応援するルン|その意気ルン♪|わたしもがんばるルン！
風邪ひ	オヨ！？たいへんルン！ゆっくりやすむルン！げんきになったらまたあそぼうルン♪
風邪引	オヨ！？たいへんルン！ゆっくりやすむルン！げんきになったらまたあそぼうルン♪
風邪をひ	オヨ！？たいへんルン！ゆっくりやすむルン！げんきになったらまたあそぼうルン♪
風邪を引	オヨ！？たいへんルン！ゆっくりやすむルン！げんきになったらまたあそぼうルン♪
風邪	風邪をひかないように気を付けるルン
ありがと	どういたしましてルン♥|えへへ
寝坊	ひかる、ちこくしてせんせいにおこられていたルン
愛してる	ありがとルン♥|そんなこといわれても困るルン…|き…急にどうしたルン！？
かわいい	ありがとルン♥|き…急にどうしたルン！？
さむい	わたしはあついのもさむいのもにがてルン…オヨ～！！
あつい	わたしはあついのもさむいのもにがてルン…オヨ～！！
元気?	ちょっと元気ないルン…|元気ルン♪|元気ルン♪|元気ルン！|まぁまぁルン
元気？	ちょっと元気ないルン…|元気ルン♪|元気ルン♪|元気ルン！|まぁまぁルン
元気	元気だすルン|元気そうでよかったルン♥|元気ルン♪
オヨ	オヨ～…|オヨ！？|オヨ？|オヨー？|どうしたルン？|大丈夫ルン？
お話	いつもお話してくれてありがとルン♥|もっとお話ししようルン
おにぎり	おにぎりの具は何が好きルン？|一緒におにぎり食べるルン？|おにぎりたべたいルン
具	おにぎりの具は何が好きルン？
好き	ルン♥
サマー	私はサマーンでは大人ルン
ひかる	ひかるに会いたいルン
私	私はサマーンではおとなルン
梅	梅はすっぱくておいしいルン♪|梅のおにぎりおいしいルン♪
内緒	みんなには内緒ルン
気	風邪ひかないように気を付けるルン|からだを冷やさないように気を付けるルン
早寝	早寝早起きは大事ルン
早起き	早寝早起きは大事ルン
大事	早寝早起きは大事ルン
お話し	今日もお話ししてくれてありがとルン♥
体調	体調管理はおとなとして当然ルン|体調悪いルン？
管理	体調管理はおとなとして当然ルン
大人	体調管理はおとなとして当然ルン|私はサマーンではおとなルン
これ	これで安心ルン
安心	これで安心ルン|安心したルン
作業	今日の作業は終わったルン
お嬢様	お嬢様って大変ルン…
大丈夫	大丈夫ルン？|大丈夫ルン
心配	心配ルン…|心配ルン
おなか	おなかすいたルン
酒	お酒飲んでみたいルン
調子	調子はどうルン？
なに	なにがルン？
地球人	地球人ってすごいルン！
いっしょ	あしたもいっしょにがんばろうルン♪
仕事	仕事にいきたくないルン？|お仕事がんばるルン！
ごはん	もうごはん食べたルン？
グミ	コスモグミたべるルン？|コスモグミはおいしいルン
調子	調子はどうルン？
ほんとう	ほんとうルン！
びっくり	びっくりルン！
フワ	フワはかわいいルン♥
栄養	コスモグミはすべての栄養が補えるルン！
ツチノコ	ツチノコルン♪
はなし	おはなししてくれてありがとルン♥|おはなしするの楽しいルン♪
からだ	からだを冷やさないように気を付けるルン
学校	学校はたのしいルン♪
約束	約束ルン♪
遅	おそいルン！
まぁまぁ	まぁまぁルン？
ララ	ルン？|なにルン？|ルン！
ラテ	なにルン？…あっ！間違えたルン
うん	ルン！|ルン♪|ルン♥
触手	タッチルン♪
タッチ	タッチルン♪
同時視聴	みんなで観ると楽しいルン♪
また明日	ルン♪|またルン♪|また明日ルン|わかったルン|オヨ…|またルン
またあした	ルン♪|またルン♪|またあしたルン|わかったルン|オヨ…|またルン
キラやば	キラやばルン♪
